jacket,veste
kitchen,cuisine
knife,couteau
lamp,lampe
letter,lettre
map,carte
newspaper,journal
notebook,cahier
pants,pantalon
paper,papier
pen,stylo
pencil,crayon
pharmacy,pharmacie
picture,image
plate,plaque
refrigerator,réfrigérateur
restaurant,restaurant
roof,toit
room,pièce
rug,couverture
scissors,ciseaux
shampoo,shampooing
shirt,chemise
hard,dur
heavy,lourd
inexpensive,peu couteux
light,lumiere
local,local,lent
weather,temps
bad weather,intempéries
cloudy,nuageux
cold,froid
cool,frais
foggy,brumeux
hot,chaud
nice weather,beau temps
pouring,coulée
rain,pluie
raining,pleut
snow,neige
snowing,neige
ice,glace
sunny,ensoleillé
windy,venteux
spring,printemps
summer,été
autumn,automne
winter,hiver
people,personnes
aunt,tante
baby,bébé
brother,frère
cousin,cousin
daughter,fille
dentist,dentiste
doctor,médecin
father,père
grandfather,grand-père
grandmother,grand-mère
husband,mari
mother,mère
nephew,neveu
niece,nièce
nurse,infirmière
cafe,café
country,pays
desert,désert
dictionary,dictionnaire
earth,terre
flowers,fleurs
football,football
forest,forêt
